,Accuracy,Precision,Recall,F1 Score,FPR,FNR
"train layers=[64], epochs=100, min_delta=0.0, patience=5, dropout_rate=0.5",0.959141536596454,0.9585400296918565,0.9631785766264008,0.960853705014428,0.04524261103208472,0.036821423373599185
"val layers=[64], epochs=100, min_delta=0.0, patience=5, dropout_rate=0.5",0.9604455558081382,0.9589573732718893,0.9656322505800464,0.9622832369942197,0.045230915727662274,0.034367749419953596
"train layers=[64], epochs=100, min_delta=0.001, patience=1, dropout_rate=0.3",0.9593877860281861,0.9573676990830987,0.9649614321059525,0.9611495669191462,0.04666508613877035,0.03503856789404745
"val layers=[64], epochs=100, min_delta=0.001, patience=1, dropout_rate=0.3",0.9596878078351141,0.9561353211009175,0.9672273781902552,0.9616493656286044,0.04856372004443739,0.03277262180974478
"train layers=[64], epochs=100, min_delta=0.001, patience=1, dropout_rate=0.5",0.9583270192453403,0.9576786619361378,0.9624872653180032,0.9600769426196785,0.046190927769875136,0.0375127346819968
"val layers=[64], epochs=100, min_delta=0.001, patience=1, dropout_rate=0.5",0.9590816094566947,0.9567404426559356,0.9653422273781903,0.9610220874837592,0.04777019520710998,0.034657772621809746
"train layers=[64], epochs=100, min_delta=0.001, patience=3, dropout_rate=0.3",0.9570957720866798,0.9591784712865519,0.9583757822733227,0.9587769587769588,0.044294294294294295,0.04162421772667734
"val layers=[64], epochs=100, min_delta=0.001, patience=3, dropout_rate=0.3",0.9580207622944609,0.9586346543245589,0.9611368909512761,0.9598841419261405,0.04538962069512776,0.0388631090487239
"train layers=[64], epochs=100, min_delta=0.001, patience=3, dropout_rate=0.5",0.9593499015002273,0.9604899680139576,0.9614684907582594,0.9609789802894756,0.04295084558242453,0.03853150924174065
"val layers=[64], epochs=100, min_delta=0.001, patience=3, dropout_rate=0.5",0.9603697810108358,0.960011549011116,0.9643271461716937,0.9621645084279824,0.04396127598793842,0.03567285382830626
"train layers=[64], epochs=100, min_delta=0.001, patience=5, dropout_rate=0.3",0.958459615093196,0.9578882572328639,0.9625236501237083,0.9602003593401208,0.04595384858542753,0.03747634987629166
"val layers=[64], epochs=100, min_delta=0.001, patience=5, dropout_rate=0.3",0.9600666818216261,0.9582673766009497,0.9656322505800464,0.9619357168652943,0.04602444056498969,0.034367749419953596
"train layers=[64], epochs=100, min_delta=0.001, patience=5, dropout_rate=0.5",0.9582701924534021,0.9582381729200653,0.9617595692039005,0.9599956418311573,0.04551920341394026,0.038240430796099546
"val layers=[64], epochs=100, min_delta=0.001, patience=5, dropout_rate=0.5",0.9603697810108358,0.9584232484534599,0.9660672853828306,0.9622300859391926,0.0458657355975242,0.033932714617169374
"train layers=[128, 64], epochs=50, min_delta=0.0, patience=1, dropout_rate=0.3",0.95647067737536,0.9571957595120535,0.9592854024159511,0.9582394417387512,0.04658605974395448,0.0407145975840489
"val layers=[128, 64], epochs=50, min_delta=0.0, patience=1, dropout_rate=0.3",0.9572630143214367,0.9556706966033391,0.962877030162413,0.959260329384571,0.04888112997936835,0.037122969837587005
"train layers=[128, 64], epochs=50, min_delta=0.0, patience=1, dropout_rate=0.5",0.957057887558721,0.9626463141672477,0.9545553776742832,0.9585837733160385,0.04022443496127707,0.045444622325716784
"val layers=[128, 64], epochs=50, min_delta=0.0, patience=1, dropout_rate=0.5",0.9586269606728802,0.9622888759464182,0.9583816705336426,0.9603312990409765,0.041104586573559754,0.04161832946635731
"train layers=[128, 64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.3",0.9523223215638733,0.9533355122199223,0.9551739193712706,0.9542538303556823,0.05077445866919551,0.04482608062872944
"val layers=[128, 64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.3",0.9534742744563158,0.9528546712802768,0.9583816705336426,0.9556101792943898,0.051896524361212504,0.04161832946635731
"train layers=[128, 64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.5",0.9583080769813608,0.9555331339411193,0.964815892883132,0.9601520774871005,0.04875928560139087,0.035184107116867994
"val layers=[128, 64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.5",0.9588542850647874,0.9538505500785827,0.9680974477958236,0.9609211946743433,0.051261704491350576,0.031902552204176336
"train layers=[128, 64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.3",0.9560350053038339,0.9551752830939546,0.9606316402270412,0.9578956916099773,0.048956851588430536,0.039368359772958814
"val layers=[128, 64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.3",0.9568083655376222,0.9540625897215045,0.9637470997679815,0.9588803924397634,0.050785589588954134,0.03625290023201856
"train layers=[128, 64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.5",0.9576450977420822,0.9565641952983726,0.9623417260951826,0.9594442630681612,0.047455350086929034,0.037658273904817345
"val layers=[128, 64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.5",0.9597635826324165,0.955749677788916,0.9678074245939675,0.9617407594207076,0.04903983494683384,0.03219257540603248
"train layers=[128, 64], epochs=50, min_delta=0.001, patience=1, dropout_rate=0.3",0.9559213517199576,0.955033824114604,0.9605588706156309,0.9577883795599252,0.04911490437806227,0.03944112938436909
"val layers=[128, 64], epochs=50, min_delta=0.001, patience=1, dropout_rate=0.3",0.9562021671592028,0.9551873198847263,0.9612819025522041,0.9582249204972535,0.0493572448817648,0.03871809744779582
"train layers=[128, 64], epochs=50, min_delta=0.001, patience=1, dropout_rate=0.5",0.9562433702076072,0.9564807427286575,0.9596128656672973,0.9580442442515166,0.0474158368895211,0.04038713433270266
"val layers=[128, 64], epochs=50, min_delta=0.001, patience=1, dropout_rate=0.5",0.957490338713344,0.9549044951888553,0.9641821345707656,0.9595208889530269,0.049833359784161244,0.03581786542923434
"train layers=[128, 64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.3",0.9540081830580391,0.9513293464947042,0.9608135642555669,0.9560479345425582,0.05338232969811917,0.039186435744433125
"val layers=[128, 64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.3",0.956050617564598,0.9542577675489068,0.9620069605568445,0.9581166955517042,0.05046817965402317,0.03799303944315545
"train layers=[128, 64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.5",0.9571147143506592,0.959615104242601,0.9579391646048611,0.9587764020393299,0.04378062272799115,0.04206083539513899
"val layers=[128, 64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.5",0.956959915132227,0.9590829947765526,0.9585266821345708,0.9588047577603713,0.04475480082526583,0.04147331786542923
"train layers=[128, 64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.3",0.9546143355053796,0.9500897021887335,0.9634332702663367,0.9567149618817068,0.05496285759443654,0.03656672973366322
"val layers=[128, 64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.3",0.956050617564598,0.9506278538812786,0.9660672853828306,0.9582853855005754,0.054911918743056655,0.033932714617169374
"train layers=[128, 64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.5",0.9586490377329898,0.9551030686764759,0.9659802066656964,0.9605108445939835,0.049312470365101946,0.0340197933343036
"val layers=[128, 64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.5",0.9591573842539971,0.9550465282748747,0.9673723897911833,0.9611699445284921,0.049833359784161244,0.03262761020881671
"train layers=[128, 64], epochs=100, min_delta=0.0, patience=1, dropout_rate=0.3",0.9578534626458555,0.9561527070466284,0.9632149614321059,0.9596708415653151,0.04796902165323218,0.03678503856789405
"val layers=[128, 64], epochs=100, min_delta=0.0, patience=1, dropout_rate=0.3",0.9591573842539971,0.9558296285673311,0.9665023201856149,0.9611363472492609,0.04888112997936835,0.03349767981438515
"train layers=[128, 64], epochs=100, min_delta=0.0, patience=1, dropout_rate=0.5",0.9571147143506592,0.9588791848617176,0.958739630330374,0.9588094025180118,0.044649913070965705,0.041260369669625964
